Id,Precinct,Violation,2007,2008,2009,2010,2011,2012,2013,2014,Max
312,1,SOUND REPRODUCTION DEVICE-NO PERMIT,1,1,0,0,1,2,2,7,51
313,1,VEHICLE IN PARK,2,1,0,0,0,0,0,0,623
314,1,HARASSMENT 2,9,1,1,2,6,1,1,0,53
315,1,NOISE (HORN/ALARM),1,0,0,1,0,0,2,1,121
316,1,DISORDERLY PERSON IN PARK,1,2,1,0,0,2,0,2,104
317,1,DOG: UNLEASHED,1,0,1,1,1,0,2,0,345
318,1,DOG: UNLICENSED,2,0,7,6,0,0,0,0,272
319,1,FAILURE TO SURRENDER LICENSE OR REGISTRATION,1,0,0,0,0,0,0,0,54
320,1,OBSTRUCTED VIEW OF PREMISE,2,0,2,2,8,0,1,1,56
321,1,OTHER ALCOHOL BEVERAGE CONTROL LAWS,1,8,10,40,33,22,5,21,293
322,1,"UNAUTHORIZED SIGNS (TAXI, CAR SERVICE)",1,0,1,0,0,0,0,0,87
323,1,UNLICENSED SALE OF ALCOHOL,1,6,6,4,7,3,0,0,100
324,1,CONSUMPTION OF ALCOHOL IN VEHICLE,2,1,0,1,0,0,0,0,10
325,1,BICYCLE ON SIDEWALK,1,3,2,14,49,127,70,8,2730
326,1,FIRE HYDRANT,1,0,0,0,0,0,0,0,4
327,1,OTHER BUSINESS LAW,1,0,0,0,0,0,0,0,80
328,1,UNLAWFULLY POSTING ADVERTISEMENTS,1,0,3,0,0,1,6,6,45
329,1,BOX CUTTER,0,4,10,0,1,1,0,2,55
330,1,LITTERNG,0,2,1,1,0,0,0,1,28
331,1,OTHER NAVIGATION LAW,0,34,11,8,28,32,62,67,67
332,1,SEX IN PARK,0,5,0,2,0,0,0,0,42
333,1,VENDING: NO TAX STAMP,0,7,0,3,3,3,0,0,317
334,1,FIREWORKS,0,2,0,0,1,0,0,0,72
335,1,FAILURE TO YIELD TO PEDESTRIAN IN CROSSWALK,0,1,0,0,0,0,0,0,13
336,1,FOOD PROTECTION/STORAGE/TRANSPORTATION,0,5,20,22,11,31,5,2,31
337,1,UNLICENSED VEHICLE FOR HIRE,0,1,2,2,7,1,3,1,705
338,1,ILLEGAL BOTTLE CLUB,0,1,0,14,8,2,0,2,106
339,1,LOITERING (SEXUAL CONDUCT),0,2,0,0,0,0,0,0,6
340,1,POSSESSION OF MACE,0,1,0,0,0,0,2,1,12
341,1,VENDING ON PARKING METER,0,2,3,0,0,2,2,0,274
342,1,UNLICENSED CABARET,0,4,0,0,1,8,0,5,98
343,1,URINATE/DEFICATE IN PARK,0,1,0,0,0,0,1,0,88
344,1,BICYCLE (OTHER),0,1,0,0,0,0,0,0,29
345,1,NO PREGNANCY WARNING SIGN,0,1,0,0,0,8,2,1,31
346,1,JAYWALKING,0,1,0,2,3,3,2,3,324
347,1,RED LIGHT (DISOBEY),0,0,2,0,0,0,1,1,548
348,1,VENDOR: (OTHER),0,0,8,2,6,33,19,3,1608
349,1,LIMITED USE AUTOMOBILE REVOCATION OR SUSPENSION,0,0,4,5,11,3,3,0,263
350,1,INSURANCE STAMP EXPIRED,0,0,1,0,1,1,0,0,44
351,1,NO BUSINESS CERTIFICATE,0,0,2,0,0,0,0,0,89
352,1,KEY IN IGNITION,0,0,1,0,0,0,1,0,558
353,1,OTHER SANITARY CODE,0,0,1,0,2,1,1,0,27
354,1,LEAVING THE SCENE OF AN ACCIDENT (PROPERTY DAMAGE),0,0,1,0,1,1,0,0,6
355,1,AFTER HOURS CONSUMPTION,0,0,1,5,2,0,0,0,203
356,1,IMPROPER STICKER,0,0,0,1,0,0,1,0,539
357,1,PANHANDLING,0,0,0,2,0,1,2,3,284
358,1,UNATTENDED VEHICLE (ENGINE RUNNING),0,0,0,1,0,0,0,0,24
359,1,UNAUTHORIZED USE OF POLICE INSIGNIA,0,0,0,1,0,0,0,0,35
360,1,PICK-UP FARE IN BUS STOP,0,0,0,1,0,0,3,1,23
361,1,TAXI-NO METER,0,0,0,12,0,0,0,0,24
362,1,ONE WAY STREET,0,0,0,1,1,0,0,0,634
363,1,VENDOR:RESTRICTIONS ON PLACMENT VEHICLE/PUSHCARTS,0,0,0,3,8,34,110,4,778
364,1,DOG: FAILURE TO REMOVE CANINE WASTE,0,0,0,2,1,0,0,1,73
365,1,"IMITATION PISTOL/AIR RIFLE, POSSESSION OF",0,0,0,1,0,0,0,0,16
366,1,DOG: NO VACCINATION,0,0,0,2,0,0,0,0,250
367,1,IMPROPER TURN,0,0,0,1,0,0,0,0,4
368,1,VENDOR: FAIL TO DISPLAY PERMIT,0,0,0,1,0,0,2,0,400
369,1,GRAFFITI,0,0,0,2,1,0,4,0,20
370,1,PICK UP HAIL IN BUS STOP,0,0,0,0,1,3,6,0,271
371,1,SMOKING IN TRAIN STATION,0,0,0,0,10,4,0,0,74
372,1,INTERSECTION,0,0,0,0,7,2,0,0,7
373,1,LOITERING (MASKED/DISGUISE),0,0,0,0,13,0,0,0,13
374,1,"SCHOOL BUS, PASSING STOPPED",0,0,0,0,1,0,0,0,3
375,1,VENDOR: FAIL TO DISPLAY PRICES,0,0,0,0,1,1,1,1,416
376,1,OTHER ENVIRONMENTAL CONSERVATION LAW,0,0,0,0,0,2,0,0,14
377,1,IDLING OF VEHICLE,0,0,0,0,0,1,1,2,216
378,1,VIOLATE LEARNERS PERMIT,0,0,0,0,0,1,0,0,1
379,1,CONSUMPTION OF ALCOHOL IN PARK,0,0,0,0,0,0,3,2,538
380,1,TOW:UNAUTHORIZED REMOVAL OF VEHICLE,0,0,0,0,0,0,2,0,14
381,1,TOW TRUCK VIOLATIONS (OTHER),0,0,0,0,0,0,4,0,36
382,1,WRONG WAY,0,0,0,0,0,0,1,0,3
383,1,BIKE IN PARK,0,0,0,0,0,0,0,2,885
384,1,INSPECTION STICKER (MISSING/EXPIRED),0,0,0,0,0,0,0,1,2
385,1,OTHER AGRICULTURE & MARKETS LAW,0,0,0,0,0,0,0,1,10
386,1,MISSING/IMPROPER PLATES,0,0,0,0,0,0,0,1,2
387,1,OTHER NYS WORK COMPENSATION,0,0,0,0,0,0,0,4,14
388,1,DISOBEY TRANSIT SIGN,0,0,0,0,0,0,0,0,16
390,5,BROKEN WINDSHIELD,5,6,0,0,0,0,0,0,6
391,5,CONSUMPTION OF ALCOHOL,454,556,816,657,576,687,668,732,6323
392,5,CRUISING PROHIBITED - MEDALLION,3,1,2,3,4,3,18,4,184
393,5,DEFECTIVE BREAKLIGHT,11,6,15,5,1,1,0,0,59
394,5,DEFECTIVE HEADLIGHT,22,15,6,4,5,0,0,6,31
395,5,DISORDERLY CONDUCT,486,435,627,729,953,385,423,280,6537
396,5,INADEQUATE MOTOR VEHICLE EQUIPMENT,165,79,75,2,8,4,21,43,335
397,5,PARKING A VEHICLE EXCEEDING 12 INCHES FROM CURB,5,6,1,1,1,0,1,0,61
398,5,EXPOSURE OF PERSON,1,1,3,1,1,3,4,5,200
399,5,FEDERAL MOTOR VEHICLE SAFETY REGULATIONS,122,1397,3418,196,663,1459,1334,2001,3695
400,5,LITTERING,12,56,85,86,30,61,96,70,1253
401,5,"MARIJUANA, POSSESSION OF",55,35,49,35,30,46,54,33,1020
402,5,NO CERTIFICATE OF AUTHORITY,2,2,0,0,3,0,0,0,530
403,5,NO CHAUFFEURS LICENSE (CLASS E),5,2,2,2,0,0,2,2,285
404,5,COMMERCIAL VEHICLES NO NAME OR ADDRESS DISPLAYED,107,87,105,17,48,89,102,116,375
405,5,NO TAX STAMP,310,217,182,43,111,46,146,245,437
406,5,OBSTRUCTING TRAFFIC,1,9,1,0,1,0,0,0,117
407,5,OTHER ADMINISTRATIVE CODE,133,38,156,218,185,103,127,56,2214
408,5,OTHER HEALTH CODE,93,36,65,16,13,16,13,17,905
409,5,OTHER NYS TRANSPORTATION,839,138,4,3,189,259,294,542,1420
410,5,OTHER TAX LAW,81,1,1,3,1,1,1,3,130
411,5,OTHER TRAFFIC REGULATIONS,92,97,74,15,467,95,87,98,773
412,5,OTHER VEHICLE TRAFFIC LAW,134,111,162,22,56,84,156,167,541
413,5,OVERWEIGHT (VEHICLE),20,2,3,0,0,0,0,2,38
414,5,RECKLESS DRIVING,28,40,59,87,108,120,127,137,862
415,5,TRESPASS,55,39,99,141,122,34,23,10,1068
416,5,UNINSPECTED VEHICLE,37,15,11,1,4,7,10,20,25
417,5,UNINSURED VEHICLE,41,11,33,1,7,10,17,14,163
418,5,UNREGISTERED VEHICLE,87,40,28,5,35,71,72,89,268
419,5,URINATING IN PUBLIC,189,242,265,187,157,247,289,249,3477
420,5,VENDOR: DISPLAY MERCHANDISE ON SIDEWALK,15,17,11,38,27,20,14,18,337
421,5,VENDOR: UNLICENSED,55,94,92,91,75,59,27,12,638
422,5,INDETERMINABLE,1575,0,10,0,4,4,2,14,1503
423,5,DEFECTIVE REFLECTOR,9,10,5,0,0,0,0,0,16
424,5,FAILURE TO COMPLY WITH SIGN,71,123,298,264,213,161,79,76,3756
425,5,HIGHWAY USE TAX (NEW YORK STATE),41,49,61,2,1,2,47,69,91
426,5,NOISE (UNREASONABLE),0,1,5,1,4,4,22,14,2681
427,5,OTHER PENAL LAW,6,11,1,4,13,2,0,3,288
428,5,PARK REGULATIONS(LITTERING/POLLUTING/DUMPING/UNATTENDED PROPERTY),5,34,68,15,82,46,46,9,1061
429,5,SALE/PURCHASE/USE OF ALCOHOL BY MINOR,20,2,10,7,11,12,17,3,305
430,5,SPITTING IN PUBLIC,1,5,27,4,5,5,7,4,337
431,5,UNLICENSED OPERATOR,34,17,11,1,5,9,2,3,41
432,5,BICYCLE INFRACTION (COMMERCIAL),1,0,0,0,1,3,66,50,3180
433,5,DOING BUS WITH OTHER NAME,1,0,0,0,0,0,0,0,24
434,5,IMPROPER PLATES,45,10,3,0,2,1,0,7,65
435,5,"KNIFE, ANY IN PUBLIC VIEW",9,7,6,22,13,5,7,12,342
436,5,DISORDERLY PREMISE LICENSED TO SELL ALCOHOL,6,3,2,0,3,1,2,0,35
437,5,FAIL TO COMPLY WITH ORDER,1,0,1,1,1,0,1,0,13
438,5,FAIL TO COMPLY WITH TAXI LIMOUSINE COMMISSION REGULATIONS,11,5,6,7,4,5,11,2,683
439,5,SAFETY BELT (ADULT),2,0,0,0,1,0,1,0,9
440,5,UNINSURED VEHICLES FOR HIRE,63,26,14,9,4,6,0,1,164
441,5,OTHER PARK REGULATIONS,3,15,97,89,82,22,2,6,536
442,5,ACCEPT ON HAIL,144,129,64,56,40,17,15,2,694
443,5,IMPROPER REGISTRATION,1,0,0,0,0,0,1,0,2
444,5,OTHER TRANSIT REGULATIONS,4,0,0,1,9,3,1,0,145
445,5,UNDERAGE DRINKING,10,6,6,8,4,5,10,1,484
446,5,MISUSE OF DEALER PLATES,1,0,0,0,0,0,0,0,3
447,5,NO TRIP SHEET,5,1,3,2,0,2,1,2,177
448,5,POSSESSION OF KNIFE,3,7,1,5,0,0,1,0,67
449,5,REVOKED REGISTRATION,2,14,5,0,1,0,0,2,139
450,5,UNAUTHORIZED POSTING,3,2,6,2,5,4,3,4,133
451,5,INVALID PROOF OF INSURANCE,0,0,2,0,0,1,1,0,32
452,5,NO SECURITY GUARD LICENSE,11,0,14,2,2,4,2,0,66
453,5,NOISE (DEVICE),2,2,0,0,1,1,2,2,376
454,5,OTHER TAXI LIMOUSINE COMMISSION,0,0,0,0,2,1,0,3,279
455,5,SALE OF ALCOHOL TO A MINOR,2,0,6,3,1,4,1,0,69
456,5,SOUND REPRODUCTION DEVICE-NO PERMIT,0,0,1,1,0,0,0,0,51
457,5,VEHICLE IN PARK,0,4,3,1,1,2,0,0,623
458,5,HARASSMENT 2,5,1,1,5,3,3,2,1,53
459,5,NOISE (HORN/ALARM),1,2,2,1,0,2,4,3,121
460,5,DISORDERLY PERSON IN PARK,1,4,1,0,1,2,2,2,104
461,5,DOG: UNLEASHED,18,24,16,22,20,28,13,11,345
462,5,DOG: UNLICENSED,4,5,11,5,12,19,4,0,272
463,5,FAILURE TO SURRENDER LICENSE OR REGISTRATION,0,0,0,0,1,0,1,0,54
464,5,OTHER ALCOHOL BEVERAGE CONTROL LAWS,20,14,6,9,12,17,45,5,293
465,5,"UNAUTHORIZED SIGNS (TAXI, CAR SERVICE)",10,44,7,4,0,4,1,1,87
466,5,UNLICENSED SALE OF ALCOHOL,2,1,4,0,0,3,1,0,100
467,5,BICYCLE ON SIDEWALK,64,104,118,113,142,102,186,62,2730
468,5,OTHER BUSINESS LAW,1,0,0,0,0,0,0,0,80
469,5,UNLAWFULLY POSTING ADVERTISEMENTS,0,2,0,1,0,1,2,6,45
470,5,BOX CUTTER,4,3,4,2,2,7,7,3,55
471,5,LITTERNG,2,4,3,1,6,3,1,2,28
472,5,OTHER NAVIGATION LAW,0,8,1,1,0,2,4,2,67
473,5,SEX IN PARK,0,0,0,2,0,0,2,2,42
474,5,VENDING: NO TAX STAMP,2,14,3,3,3,0,0,0,317
475,5,FIREWORKS,5,5,3,0,0,0,0,0,72
476,5,FAILURE TO YIELD TO PEDESTRIAN IN CROSSWALK,2,0,0,0,0,0,0,0,13
477,5,FOOD PROTECTION/STORAGE/TRANSPORTATION,0,17,14,0,8,26,8,9,31
478,5,UNLICENSED VEHICLE FOR HIRE,107,68,36,3,10,6,6,2,705
479,5,ILLEGAL BOTTLE CLUB,1,0,1,0,0,3,3,0,106
480,5,VENDING ON PARKING METER,1,1,8,2,0,1,2,4,274
481,5,UNLICENSED CABARET,4,0,0,0,0,0,0,1,98
482,5,URINATE/DEFICATE IN PARK,0,0,0,0,2,2,4,3,88
483,5,BICYCLE (OTHER),0,0,0,0,0,0,5,0,29
484,5,NO PREGNANCY WARNING SIGN,4,0,4,0,3,0,7,1,31
485,5,JAYWALKING,1,0,0,2,1,1,1,8,324
486,5,RED LIGHT (DISOBEY),1,0,1,0,2,2,2,0,548
487,5,VENDOR: (OTHER),0,0,3,18,36,7,7,1,1608
488,5,LIMITED USE AUTOMOBILE REVOCATION OR SUSPENSION,0,9,22,28,11,27,4,2,263
489,5,INSURANCE STAMP EXPIRED,0,1,0,0,2,0,0,0,44
490,5,NO BUSINESS CERTIFICATE,4,0,3,0,1,3,2,4,89
491,5,KEY IN IGNITION,0,0,5,2,4,1,2,1,558
492,5,OTHER SANITARY CODE,0,2,1,2,4,4,2,3,27
493,5,LEAVING THE SCENE OF AN ACCIDENT (PROPERTY DAMAGE),1,2,1,1,1,0,0,0,6
494,5,AFTER HOURS CONSUMPTION,0,0,0,0,4,2,0,0,203
495,5,IMPROPER STICKER,1,0,1,0,1,0,0,1,539
496,5,PANHANDLING,0,1,1,1,0,0,1,0,284
497,5,PICK-UP FARE IN BUS STOP,0,0,0,0,0,0,0,4,23
498,5,TAXI-NO METER,3,0,0,0,0,0,0,0,24
499,5,ONE WAY STREET,0,0,0,0,0,0,1,0,634
500,5,VENDOR:RESTRICTIONS ON PLACMENT VEHICLE/PUSHCARTS,0,0,9,335,330,277,182,117,778
501,5,DOG: FAILURE TO REMOVE CANINE WASTE,0,7,8,0,3,3,1,1,73
502,5,"IMITATION PISTOL/AIR RIFLE, POSSESSION OF",1,0,0,0,0,0,2,1,16
503,5,DOG: NO VACCINATION,1,0,1,10,0,0,0,0,250
504,5,IMPROPER TURN,1,0,0,0,0,0,0,0,4
505,5,VENDOR: FAIL TO DISPLAY PERMIT,0,0,4,41,70,37,29,20,400
506,5,GRAFFITI,1,0,0,0,0,5,2,1,20
507,5,PICK UP HAIL IN BUS STOP,0,0,0,0,0,0,0,0,271
508,5,SMOKING IN TRAIN STATION,0,0,0,0,1,0,0,0,74
509,5,VENDOR: FAIL TO DISPLAY PRICES,0,0,1,5,4,23,2,3,416
510,5,OTHER ENVIRONMENTAL CONSERVATION LAW,0,0,0,0,0,1,0,1,14
511,5,IDLING OF VEHICLE,2,5,88,147,69,55,15,26,216
512,5,CONSUMPTION OF ALCOHOL IN PARK,5,4,15,17,10,4,5,1,538
513,5,TOW:UNAUTHORIZED REMOVAL OF VEHICLE,0,0,0,0,0,1,0,0,14
514,5,MISSING/IMPROPER PLATES,1,0,0,0,0,0,0,0,2
515,5,NO SMOKING SIGNS NOT POSTED,22,20,22,0,0,0,0,1,162
516,5,SMOKING IN ELEVATOR,9,15,6,3,7,5,2,1,217
517,5,UNAUTHORIZED RADIO,4,4,1,0,0,0,0,0,71
518,5,LOITERING (GAMBLING),22,18,0,5,24,5,18,5,473
519,5,IN PUBLIC UNDER DRUGS,1,0,0,0,0,0,1,0,5
520,5,REGISTRATION STICKER MISSING/EXPIRED,1,0,0,0,0,0,0,0,2
521,5,STOP SIGN,1,0,0,0,0,0,0,0,42
522,5,NO MEDALLION,1,0,0,0,0,0,2,0,7
523,5,PASSING ON RIGHT,1,0,0,0,0,0,0,0,1
524,5,UNSAFE LANE CHANGE,1,1,0,0,1,0,0,0,5
525,5,OPEN FIRE,1,0,0,4,0,0,1,0,33
526,5,LOITERING (SCHOOL),0,3,4,2,1,0,0,0,143
527,5,DRIVE ON SIDEWALK,0,1,1,0,0,0,0,1,20
528,5,"FIREWORKS, POSSESS/USE",0,1,1,0,0,0,0,1,72
529,5,FIRE WITHOUT PERMIT,0,0,6,0,1,0,0,1,73
530,5,AGGRAVATED UNLICENSED OPERATOR,0,0,1,0,0,0,0,1,208
531,5,FAIL TO YIELD FOR EMERGENCY VEHICLE,0,0,1,1,0,0,0,0,5
532,5,PROMOTING EXPOSURE,0,0,1,1,0,1,0,0,7
533,5,DOG IN PARK,0,0,0,27,8,11,1,0,35
534,5,VENDOR: OVERSIZE TABLE,0,0,0,4,1,0,0,0,96
535,5,PICK UP FROM BUS STOP,0,0,0,1,1,0,0,0,158
536,5,CROSSWALK,0,0,0,0,1,0,0,0,11
537,5,BARE HAND CONTACT (FOOD),0,0,0,0,1,2,2,3,50
538,5,NON PAYMENT OF FARE (BUS),0,0,0,0,1,0,0,0,468
539,5,OPEN HYDRANT,0,0,0,0,1,2,0,0,12
540,5,SAFETY BELT (CHILD),0,0,0,0,0,1,0,0,4
541,5,BICYCLE NO BRAKES,0,0,0,0,0,0,24,0,24
542,5,BICYCLE NO LIGHTS,0,0,0,0,0,0,25,0,25
543,5,BICYCLE NO BELL,0,0,0,0,0,0,1,0,61
544,5,FAILURE TO YIELD AT INTERSECTION,0,0,0,0,0,0,1,0,4
545,5,DUMPING,0,0,0,0,0,0,1,0,10
546,5,BICYCLE NO SAFETY HELMET,0,0,0,0,0,0,1,0,15
547,5,OFFENSIVE EXHIBITION,0,0,0,0,0,0,1,0,3
548,5,IMPROPER ENTRANCE/EXIT,0,0,0,0,0,0,1,0,9
549,5,CRUISING,0,0,0,0,0,0,0,1,9
550,5,VIOLATE RESTRICTED USE LICENSE,0,0,0,0,0,0,0,1,3
551,5,NON PAYMENT OF FARE (OTHER),0,0,0,0,0,0,0,1,177
553,6,BROKEN WINDSHIELD,1,0,0,0,0,0,0,0,6
554,6,CONSUMPTION OF ALCOHOL,2679,2707,2519,2859,2576,1439,2671,2356,6323
555,6,CRUISING PROHIBITED - MEDALLION,19,9,3,9,16,0,1,3,184
556,6,DEFECTIVE BREAKLIGHT,7,1,0,4,0,0,0,3,59
557,6,DEFECTIVE HEADLIGHT,2,0,0,3,0,1,2,1,31
558,6,DISORDERLY CONDUCT,721,725,679,593,771,560,603,444,6537
559,6,INADEQUATE MOTOR VEHICLE EQUIPMENT,15,4,0,0,0,0,0,1,335
560,6,PARKING A VEHICLE EXCEEDING 12 INCHES FROM CURB,0,0,0,0,61,12,5,5,61
561,6,EXPOSURE OF PERSON,12,3,0,2,4,2,7,6,200
562,6,FEDERAL MOTOR VEHICLE SAFETY REGULATIONS,128,15,78,13,34,3,21,88,3695
563,6,LITTERING,9,12,12,18,9,9,15,11,1253
564,6,"MARIJUANA, POSSESSION OF",79,97,116,88,83,120,195,183,1020
565,6,NO CERTIFICATE OF AUTHORITY,0,0,1,1,1,0,0,0,530
566,6,NO CHAUFFEURS LICENSE (CLASS E),7,4,1,7,3,3,3,1,285
567,6,COMMERCIAL VEHICLES NO NAME OR ADDRESS DISPLAYED,7,3,1,1,0,0,3,3,375
568,6,NO TAX STAMP,31,22,22,16,6,9,4,4,437
569,6,OBSTRUCTING TRAFFIC,0,0,0,1,3,2,1,1,117
570,6,OTHER ADMINISTRATIVE CODE,88,133,265,176,186,44,183,150,2214
571,6,OTHER HEALTH CODE,3,3,3,0,0,3,7,7,905
572,6,OTHER NYS TRANSPORTATION,22,33,90,29,10,4,1,8,1420
573,6,OTHER TAX LAW,0,0,0,0,1,0,0,0,130
574,6,OTHER TRAFFIC REGULATIONS,29,19,25,6,38,8,1,4,773
575,6,OTHER VEHICLE TRAFFIC LAW,14,4,14,2,10,5,4,16,541
576,6,PAVEMENT MARKING (DISOBEY),1,0,0,0,0,0,0,1,84
577,6,RECKLESS DRIVING,53,84,71,98,115,113,162,117,862
578,6,TRESPASS,89,82,76,84,106,129,65,76,1068
579,6,UNINSPECTED VEHICLE,2,1,1,0,0,0,0,1,25
580,6,UNINSURED VEHICLE,4,1,2,1,0,1,1,5,163
581,6,UNREGISTERED VEHICLE,5,0,0,2,6,2,0,0,268
582,6,URINATING IN PUBLIC,869,606,564,565,705,728,981,901,3477
583,6,VENDOR: DISPLAY MERCHANDISE ON SIDEWALK,0,23,10,4,19,3,33,5,337
584,6,VENDOR: UNLICENSED,3,21,53,91,41,25,16,6,638
585,6,INDETERMINABLE,34,0,12,14,7,7,4,5,1503
586,6,FAILURE TO COMPLY WITH SIGN,87,176,298,247,179,73,154,150,3756
587,6,HIGHWAY USE TAX (NEW YORK STATE),2,1,0,0,0,0,0,0,91
588,6,NOISE (UNREASONABLE),27,47,44,38,51,23,13,21,2681
589,6,OTHER PENAL LAW,0,3,1,6,1,4,3,5,288
590,6,PARK REGULATIONS(LITTERING/POLLUTING/DUMPING/UNATTENDED PROPERTY),28,20,21,7,12,7,3,5,1061
591,6,SALE/PURCHASE/USE OF ALCOHOL BY MINOR,47,39,50,80,73,20,25,23,305
592,6,SPITTING IN PUBLIC,4,2,6,5,5,3,8,7,337
593,6,UNLICENSED OPERATOR,7,0,0,1,1,0,0,2,41
594,6,BICYCLE INFRACTION (COMMERCIAL),0,0,0,1,2,1,9,19,3180
